datum,georegion,entries
2021-11-25,NW,72
2021-11-26,NW,73
2021-11-27,NW,42
2021-11-28,NW,46
2021-12-15,NW,47
2022-02-05,NW,70
2022-02-11,NW,108
2022-02-12,NW,60
2022-02-13,NW,85
2022-02-14,NW,145
2022-02-15,NW,114
2022-02-16,NW,101
2022-02-17,NW,98
2022-02-18,NW,78
2022-02-19,NW,49
2020-02-28,CH,10
2022-02-20,NW,51
2022-02-21,NW,86
2022-02-22,NW,92
2022-02-23,NW,83
2022-02-24,NW,60
2022-02-25,NW,75
2022-02-26,NW,33
2022-02-27,NW,70
2022-02-28,NW,144
2022-03-01,NW,130
2022-03-02,NW,161
2022-03-03,NW,172
2022-03-04,NW,184
2020-02-29,CH,13
2022-03-05,NW,132
2022-03-06,NW,117
2022-03-07,NW,220
2022-03-08,NW,168
2022-03-09,NW,167
2022-03-10,NW,159
2022-03-11,NW,150
2022-03-14,NW,176
2022-03-15,NW,157
2022-03-16,NW,106
2022-03-17,NW,97
2022-03-18,NW,106
2022-03-19,NW,55
2022-03-21,NW,122
2022-03-22,NW,85
2022-03-23,NW,80
2022-03-24,NW,65
2022-03-27,NW,39
2022-03-29,NW,39
2022-03-30,NW,38
2022-03-31,NW,36
2022-04-01,NW,26
2022-04-02,NW,10
2022-04-03,NW,8
2022-04-04,NW,22
2022-04-05,NW,34
2022-04-06,NW,33
2022-04-07,NW,16
2022-04-15,NW,10
2022-04-16,NW,10
2022-04-17,NW,6
2022-04-18,NW,6
2022-04-19,NW,10
2022-04-20,NW,17
2022-04-21,NW,5
2022-04-22,NW,8
2022-04-23,NW,8
2022-04-24,NW,3
2022-04-25,NW,11
2022-04-28,NW,5
2022-04-29,NW,18
2022-04-30,NW,6
2022-05-06,NW,4
2022-05-07,NW,3
2022-05-08,NW,2
2022-05-09,NW,11
2022-05-10,NW,4
2022-05-11,NW,6
2022-05-12,NW,4
2022-05-13,NW,2
2022-05-14,NW,4
2022-05-15,NW,3
2022-05-16,NW,5
2022-05-17,NW,2
2022-05-18,NW,4
2022-05-19,NW,4
2022-05-20,NW,2
2022-05-21,NW,4
2022-05-22,NW,4
2022-05-23,NW,2
2022-05-24,NW,3
2022-05-25,NW,3
2022-05-26,NW,4
2022-05-27,NW,9
2022-05-28,NW,1
2022-05-29,NW,3
2022-05-30,NW,9
2022-05-31,NW,2
2022-06-01,NW,2
2022-06-02,NW,3
2022-06-03,NW,5
2022-06-04,NW,6
2022-06-05,NW,1
2022-06-07,NW,7
2022-06-09,NW,8
2022-06-10,NW,9
2022-06-11,NW,12
2022-06-12,NW,6
2022-06-13,NW,8
2022-06-14,NW,6
2022-06-15,NW,16
2022-06-16,NW,1
2022-06-17,NW,17
2022-06-19,NW,9
2022-06-27,NW,15
2022-06-28,NW,14
2022-06-29,NW,41
2022-06-30,NW,17
2022-07-01,NW,38
2022-07-02,NW,23
2022-07-03,NW,21
2022-07-04,NW,34
2022-07-05,NW,16
2022-07-06,NW,61
2022-07-07,NW,35
2022-07-08,NW,31
2022-07-09,NW,22
2022-07-10,NW,12
2022-07-11,NW,41
2022-07-12,NW,37
2022-07-14,NW,36
2022-07-15,NW,27
2022-07-16,NW,15
2022-07-17,NW,11
2022-07-18,NW,37
2022-07-19,NW,18
2022-07-20,NW,25
2022-07-21,NW,19
2022-07-22,NW,19
2022-07-23,NW,11
2022-07-24,NW,9
2022-07-25,NW,28
2022-07-26,NW,18
2022-07-27,NW,27
2022-07-28,NW,15
2022-07-29,NW,13
2022-07-30,NW,5
2022-07-31,NW,7
2022-08-01,NW,5
2022-08-02,NW,13
2022-08-03,NW,19
2022-08-04,NW,21
2022-08-05,NW,18
2022-08-06,NW,4
2022-05-20,FL,6
2022-08-07,NW,2
2022-08-08,NW,11
2020-02-24,OW,0
2020-02-25,OW,0
2020-02-27,OW,0
2020-02-28,OW,0
2020-02-29,OW,0
2020-03-01,OW,0
2020-03-02,OW,0
2020-03-03,OW,0
2020-03-04,OW,0
2020-03-05,OW,0
2020-03-06,OW,0
2020-03-07,OW,0
2020-03-08,OW,0
2020-03-09,OW,0
2020-03-10,OW,1
2020-03-11,OW,6
2020-03-12,OW,0
2020-03-13,OW,3
2020-03-14,OW,5
2020-03-21,OW,2
2020-03-22,OW,2
2020-03-23,OW,1
2020-03-24,OW,0
2020-03-25,OW,2
2020-03-26,OW,3
2020-03-27,OW,4
2020-03-28,OW,2
2020-03-29,OW,2
2020-03-30,OW,2
2020-03-31,OW,1
2020-04-01,OW,3
2020-04-02,OW,4
2020-04-03,OW,0
2020-04-04,OW,1
2020-04-05,OW,3
2020-04-06,OW,1
2020-04-07,OW,1
2020-04-08,OW,1
2020-04-09,OW,0
2020-04-10,OW,0
2020-04-11,OW,0
2020-04-12,OW,0
2020-04-13,OW,0
2020-04-14,OW,0
2020-04-17,OW,1
2020-04-18,OW,0
2020-04-23,OW,2
2020-04-24,OW,1
2020-04-25,OW,2
2020-04-26,OW,2
2020-04-27,OW,2
2020-04-28,OW,2
2020-04-29,OW,1
2020-04-30,OW,0
2020-05-01,OW,0
2020-05-02,OW,1
2020-05-03,OW,0
2020-05-04,OW,0
2020-05-05,OW,0
2020-05-06,OW,0
2020-05-07,OW,0
2020-05-08,OW,0
2020-05-09,OW,0
2020-05-10,OW,0
2020-05-11,OW,0
2020-05-12,OW,0
2020-05-13,OW,0
2020-05-14,OW,0
2020-05-15,OW,0
2020-05-16,OW,0
2020-05-17,OW,0
2020-05-18,OW,1
2020-05-19,OW,0
2020-05-20,OW,2
2020-05-21,OW,0
2020-05-22,OW,0
2020-05-23,OW,0
2020-05-24,OW,0
2020-05-25,OW,0
2020-05-28,OW,0
2020-05-29,OW,0
2020-05-30,OW,0
2020-05-31,OW,0
2020-06-01,OW,0
2020-06-02,OW,0
2020-06-03,OW,0
2020-06-04,OW,0
2020-06-05,OW,0
2020-06-06,OW,0
2020-06-07,OW,0
2020-06-08,OW,0
2020-06-09,OW,0
2020-06-10,OW,0
2020-06-11,OW,0
2020-06-12,OW,0
2020-06-13,OW,0
2020-06-14,OW,0
2020-06-15,OW,0
2020-06-16,OW,0
2020-06-17,OW,0
2020-06-18,OW,0
2020-06-19,OW,0
2020-06-20,OW,0
2020-06-21,OW,0
2020-06-22,OW,0
2020-06-23,OW,0
2020-06-24,OW,0
2020-06-25,OW,0
2020-06-26,OW,0
2020-06-27,OW,0
2020-06-28,OW,1
2020-06-29,OW,0
2020-06-30,OW,0
2020-07-01,OW,0
