datum,cases,hospitalizations,tests,tests_pos
2020-05-23,2,0,298.0,0.016778523489932886
2020-05-24,0,1,325.0,0.0
2020-05-25,1,0,435.0,0.0
2020-05-26,4,1,790.0,0.007594936708860759
2020-05-27,2,0,636.0,0.009433962264150943
2020-05-28,5,1,324.0,0.015432098765432098
2020-05-29,4,1,324.0,0.015432098765432098
2020-05-30,4,2,240.0,0.025
2020-05-31,0,0,192.0,0.0
2020-06-01,1,0,254.0,0.007874015748031496
2020-06-02,3,0,348.0,0.017241379310344827
2020-06-03,0,0,324.0,0.009259259259259259
2020-06-04,1,1,322.0,0.003105590062111801
2020-06-05,2,0,416.0,0.007211538461538462
2020-06-06,3,0,233.0,0.017167381974248927
2020-06-07,0,0,171.0,0.0
2020-06-08,1,0,307.0,0.006514657980456026
2020-06-09,0,0,416.0,0.0
2020-06-10,1,0,411.0,0.0024330900243309003
2020-06-11,1,0,354.0,0.005649717514124294
2020-06-12,2,0,412.0,0.0048543689320388345
2020-06-13,0,0,365.0,0.005479452054794521
2020-06-14,0,0,145.0,0.0
2020-06-15,2,0,575.0,0.006956521739130435
2020-06-16,0,0,609.0,0.003284072249589491
2020-06-17,1,1,633.0,0.001579778830963665
2020-06-18,2,1,580.0,0.0034482758620689655
2020-06-19,3,1,518.0,0.005791505791505791
2020-06-20,3,0,296.0,0.013513513513513514
2020-06-21,0,0,184.0,0.005434782608695652
2020-06-22,2,0,733.0,0.001364256480218281
2020-06-23,3,1,758.0,0.005277044854881266
2020-06-24,3,1,672.0,0.002976190476190476
2020-06-25,2,0,695.0,0.0028776978417266188
2020-06-26,2,0,784.0,0.01020408163265306
2020-06-27,1,0,454.0,0.0022026431718061676
2020-06-28,0,1,273.0,0.007326007326007326
2020-06-29,8,0,940.0,0.011702127659574468
2020-06-30,3,0,819.0,0.004884004884004884
2020-07-01,0,0,775.0,0.003870967741935484
2020-07-02,7,0,628.0,0.007961783439490446
2020-07-03,0,1,628.0,0.0031847133757961785
2020-07-04,4,0,335.0,0.011940298507462687
2020-07-05,3,1,239.0,0.02092050209205021
2020-07-06,8,0,403.0,0.02481389578163772
2020-07-07,6,0,611.0,0.01309328968903437
2020-07-08,8,2,596.0,0.016778523489932886
